id,customer_id,created_at,updated_at,shipping_country,status
1,1057,2025-04-05 20:33:30,2025-04-05 20:33:30,IT,open
1,1057,2025-04-05 20:33:30,2025-04-06 04:33:30,IT,shipped
2,1287,2025-05-09 14:39:02,2025-05-09 14:39:02,BE,open
2,1287,2025-05-09 14:39:02,2025-05-09 23:39:02,BE,shipped
3,1022,2025-06-29 05:04:30,2025-06-29 05:04:30,BE,open
3,1022,2025-06-29 05:04:30,2025-06-29 10:04:30,BE,shipped
3,1022,2025-06-29 05:04:30,2025-06-30 05:04:30,BE ,shipped
4,1148,2025-04-16 11:51:27,2025-04-16 11:51:27,DE,open
4,1148,2025-04-16 11:51:27,2025-04-16 16:51:27,DE,shipped
4,1148,2025-04-16 11:51:27,2025-04-19 22:51:27,DE,shipped
5,1036,2025-05-04 05:33:50,2025-05-04 05:33:50,BE,open
5,1036,2025-05-04 05:33:50,2025-05-04 05:33:50,BE,shipped
5,1036,2025-05-04 05:33:50,2025-05-08 09:33:50,BE,pending_payment
6,1290,2025-06-01 02:30:18,2025-06-01 02:30:18,DE,open
6,1290,2025-06-01 02:30:18,2025-06-01 09:30:18,DE,pending_payment
6,1290,2025-06-01 02:30:18,2025-06-02 03:30:18,DE,shipped
7,1081,2025-06-21 23:24:28,2025-06-21 23:24:28,BE,open
7,1081,2025-06-21 23:24:28,2025-06-22 07:24:28,BE,shipped
8,1005,2025-04-23 05:50:59,2025-04-23 05:50:59,BE,open
8,1005,2025-04-23 05:50:59,2025-04-23 15:50:59,BE,shipped
9,1101,2025-04-30 16:16:57,2025-04-30 16:16:57,it,open
9,1101,2025-04-30 16:16:57,2025-04-30 19:16:57,IT,pending_payment
9,1101,2025-04-30 16:16:57,2025-05-05 17:16:57,IT,pending_payment
10,1248,2025-04-14 10:33:13,2025-04-14 10:33:13,BE,open
10,1248,2025-04-14 10:33:13,2025-04-14 18:33:13,BE,shipped
11,1102,2025-05-31 12:42:11,2025-05-31 12:42:11,ES,open
11,1102,2025-05-31 12:42:11,2025-05-31 15:42:11,ES,pending_payment
11,1102,2025-05-31 12:42:11,2025-06-01 17:42:11,ES,pending_payment
12,1121,2025-05-25 01:47:53,2025-05-25 01:47:53,ES,open
12,1121,2025-05-25 01:47:53,2025-05-25 06:47:53,ES,shipped
13,1239,2025-04-11 12:27:21,2025-04-11 12:27:21,FR,open
13,1239,2025-04-11 12:27:21,2025-04-11 15:27:21,FR,shipped
14,1071,2025-06-21 22:06:39,2025-06-21 22:06:39,DE,open
14,1071,2025-06-21 22:06:39,2025-06-21 23:06:39,ED,shipped
15,1121,2025-05-03 07:03:57,2025-05-03 07:03:57,ES,open
15,1121,2025-05-03 07:03:57,2025-05-03 17:03:57,ES,shipped
15,1121,2025-05-03 07:03:57,2025-05-05 10:03:57,ES,shipped
16,1029,2025-04-12 20:04:58,2025-04-12 20:04:58,IT,open
16,1029,2025-04-12 20:04:58,2025-04-12 20:04:58,IT,shipped
16,1029,2025-04-12 20:04:58,2025-04-13 22:04:58,IT,pending_payment
17,1034,2025-05-16 16:07:46,2025-05-16 16:07:46,ES,open
17,1034,2025-05-16 16:07:46,2025-05-17 01:07:46,ES,shipped
18,1133,2025-05-10 15:55:00,2025-05-10 15:55:00,IT,open
18,1133,2025-05-10 15:55:00,2025-05-10 15:55:00,IT,shipped
18,1133,2025-05-10 15:55:00,2025-05-15 16:55:00,IT,pending_payment
19,1109,2025-07-08 05:35:36,2025-07-08 05:35:36,IT,open
19,1109,2025-07-08 05:35:36,2025-07-08 14:35:36,IT,shipped
19,1109,2025-07-08 05:35:36,2025-07-13 05:35:36,IT,shipped
20,1283,2025-05-29 03:12:21,2025-05-29 03:12:21,FR,open
20,1283,2025-05-29 03:12:21,2025-05-29 06:12:21,FR,shipped
21,1135,2025-07-08 03:22:36,2025-07-08 03:22:36,ES,open
21,1135,2025-07-08 03:22:36,2025-07-08 11:22:36,ES,canceled
22,1038,2025-04-29 22:38:35,2025-04-29 22:38:35,BE,open
22,1038,2025-04-29 22:38:35,2025-04-30 10:38:35,BE,shipped
23,1020,2025-06-09 11:30:42,2025-06-09 11:30:42,DE,open
23,1020,2025-06-09 11:30:42,2025-06-09 23:30:42,DE,shipped
24,1211,2025-04-05 19:30:46,2025-04-05 19:30:46,DE,open
24,1211,2025-04-05 19:30:46,2025-04-05 23:30:46,DE,shipped
24,1211,2025-04-05 19:30:46,2025-04-07 22:30:46,DE,canceled
25,1098,2025-06-17 08:59:09,2025-06-17 08:59:09,IT,open
25,1098,2025-06-17 08:59:09,2025-06-17 08:59:09,IT,shipped
25,1098,2025-06-17 08:59:09,2025-06-21 13:59:09,IT,shipped
26,1160,2025-06-24 17:44:34,2025-06-24 17:44:34,BE,open
26,1160,2025-06-24 17:44:34,2025-06-25 01:44:34,BE,shipped
27,1209,2025-06-03 08:07:21,2025-06-03 08:07:21,ES,open
27,1209,2025-06-03 08:07:21,2025-06-03 11:07:21,ES,shipped
28,1296,2025-06-02 13:47:24,2025-06-02 13:47:24,ES,open
28,1296,2025-06-02 13:47:24,2025-06-02 13:47:24,ES,shipped
29,1243,2025-04-15 03:24:14,2025-04-15 03:24:14,ES,open
29,1243,2025-04-15 03:24:14,2025-04-15 03:24:14,ES,shipped
30,1062,2025-06-28 15:15:58,2025-06-28 15:15:58,DE,open
30,1062,2025-06-28 15:15:58,2025-06-28 19:15:58,DE,shipped
31,1146,2025-05-16 12:49:09,2025-05-16 12:49:09,IT,open
31,1146,2025-05-16 12:49:09,2025-05-16 18:49:09,IT,pending_payment
32,1215,2025-06-15 15:05:36,2025-06-15 15:05:36,BE,open
32,1215,2025-06-15 15:05:36,2025-06-15 21:05:36,BE,shipped
33,1279,2025-05-13 19:47:05,2025-05-13 19:47:05,ES,open
33,1279,2025-05-13 19:47:05,2025-05-14 02:47:05,ES,shipped
33,1279,2025-05-13 19:47:05,2025-05-19 03:47:05,ES,canceled
34,1201,2025-04-06 06:18:16,2025-04-06 06:18:16,FR,open
34,1201,2025-04-06 06:18:16,2025-04-06 07:18:16,FR,shipped
34,1201,2025-04-06 06:18:16,2025-04-11 06:18:16,FR,shipped
35,1179,2025-05-14 12:57:03,2025-05-14 12:57:03,FR,open
35,1179,2025-05-14 12:57:03,2025-05-14 15:57:03,FR,shipped
36,1058,2025-05-13 07:47:18,2025-05-13 07:47:18,ES,open
36,1058,2025-05-13 07:47:18,2025-05-13 13:47:18,ES,shipped
37,1101,2025-04-15 18:10:09,2025-04-15 18:10:09,BE,open
37,1101,2025-04-15 18:10:09,2025-04-15 19:10:09,BE,shipped
38,1174,2025-04-03 10:57:47,2025-04-03 10:57:47,ES,open
38,1174,2025-04-03 10:57:47,2025-04-03 14:57:47,ES,shipped
38,1174,2025-04-03 10:57:47,2025-04-05 22:57:47,ES,shipped
39,1194,2025-06-05 07:43:18,2025-06-05 07:43:18,FR,open
39,1194,2025-06-05 07:43:18,2025-06-05 19:43:18,FR,shipped
40,1243,2025-07-05 07:23:35,2025-07-05 07:23:35,ES,open
40,1243,2025-07-05 07:23:35,2025-07-05 17:23:35,ES,shipped
41,1242,2025-07-13 02:16:31,2025-07-13 02:16:31,IT,open
41,1242,2025-07-13 02:16:31,2025-07-13 14:16:31,IT,shipped
42,1144,2025-04-20 12:29:08,2025-04-20 12:29:08,DE,open
42,1144,2025-04-20 12:29:08,2025-04-20 13:29:08,DE,shipped
43,1293,2025-05-26 05:07:02,2025-05-26 05:07:02,ES,open
43,1293,2025-05-26 05:07:02,2025-05-26 07:07:02,ES,shipped
44,1288,2025-05-29 23:58:34,2025-05-29 23:58:34,FR,open
44,1288,2025-05-29 23:58:34,2025-05-30 05:58:34,FR,shipped
45,1030,2025-04-20 06:27:43,2025-04-20 06:27:43,DE,open
45,1030,2025-04-20 06:27:43,2025-04-20 13:27:43,DE,shipped
46,1118,2025-05-26 22:39:57,2025-05-26 22:39:57,IT,open
46,1118,2025-05-26 22:39:57,2025-05-27 09:39:57,IT,shipped
46,1118,2025-05-26 22:39:57,2025-05-30 05:39:57,IT,shipped
47,1155,2025-06-18 03:49:32,2025-06-18 03:49:32,IT,open
47,1155,2025-06-18 03:49:32,2025-06-18 05:49:32,IT,shipped
48,1223,2025-07-05 11:36:29,2025-07-05 11:36:29,FR,open
48,1223,2025-07-05 11:36:29,2025-07-05 12:36:29,FR,shipped
49,1206,2025-07-09 22:11:32,2025-07-09 22:11:32,FR,open
49,1206,2025-07-09 22:11:32,2025-07-10 09:11:32,FR,shipped
50,1282,2025-04-03 15:43:39,2025-04-03 15:43:39,BE,open
50,1282,2025-04-03 15:43:39,2025-04-03 18:43:39,BE,shipped
51,1074,2025-06-14 11:38:25,2025-06-14 11:38:25,DE,open
51,1074,2025-06-14 11:38:25,2025-06-14 17:38:25,DE,shipped
52,1164,2025-05-07 15:11:01,2025-05-07 15:11:01,DE,open
52,1164,2025-05-07 15:11:01,2025-05-07 16:11:01,DE,shipped
52,1164,2025-05-07 15:11:01,2025-05-11 15:11:01,DE,shipped
53,1209,2025-04-30 23:22:31,2025-04-30 23:22:31,FR,open
53,1209,2025-04-30 23:22:31,2025-05-01 02:22:31,FR,shipped
54,1222,2025-04-20 02:46:41,2025-04-20 02:46:41,FR,open
54,1222,2025-04-20 02:46:41,2025-04-20 04:46:41,FR,shipped
55,1195,2025-05-17 18:20:53,2025-05-17 18:20:53,ES,open
55,1195,2025-05-17 18:20:53,2025-05-18 01:20:53,ES,shipped
56,1101,2025-06-14 16:48:01,2025-06-14 16:48:01,ES,open
56,1101,2025-06-14 16:48:01,2025-06-14 16:48:01,ES,shipped
57,1202,2025-05-24 07:10:16,2025-05-24 07:10:16,FR,open
57,1202,2025-05-24 07:10:16,2025-05-24 18:10:16,FR,shipped
58,1151,2025-06-03 10:37:17,2025-06-03 10:37:17,ES,open
58,1151,2025-06-03 10:37:17,2025-06-03 22:37:17,ES,shipped
59,1173,2025-04-23 08:43:47,2025-04-23 08:43:47,ES,open
59,1173,2025-04-23 08:43:47,2025-04-23 20:43:47,ES,shipped
59,1173,2025-04-23 08:43:47,2025-04-24 20:43:47,ES,shipped
60,1135,2025-07-14 04:36:29,2025-07-14 04:36:29,FR,open
60,1135,2025-07-14 04:36:29,2025-07-14 15:36:29,FR,shipped
61,1209,2025-04-23 15:44:57,2025-04-23 15:44:57,DE,open
